O*NET-SOC Code	Task ID	Task	Task Type	Incumbents Responding	Date	Domain Source
19-1029.01	16792	Communicate research results through conference presentations, scientific publications, or project reports.	n/a	n/a	06/2009	Analyst
19-1029.01	16791	Compile data for use in activities such as gene expression profiling, genome annotation, and structural bioinformatics.	n/a	n/a	06/2009	Analyst
19-1029.01	16790	Create novel computational approaches and analytical tools as required by research goals.	n/a	n/a	06/2009	Analyst
19-1029.01	16788	Create or modify web-based bioinformatics tools.	n/a	n/a	06/2009	Analyst
19-1029.01	16789	Design and apply bioinformatics algorithms including unsupervised and supervised machine learning, dynamic programming, or graphic algorithms.	n/a	n/a	06/2009	Analyst
19-1029.01	16787	Develop data models and databases.	n/a	n/a	06/2009	Analyst
19-1029.01	16786	Develop new software applications or customize existing applications to meet specific scientific project needs.	n/a	n/a	06/2009	Analyst
19-1029.01	16785	Direct the work of technicians and information technology staff applying bioinformatics tools or applications in areas such as proteomics, transcriptomics, metabolomics, and clinical bioinformatics.	n/a	n/a	06/2009	Analyst
19-1029.01	16784	Improve user interfaces to bioinformatics software and databases.	n/a	n/a	06/2009	Analyst
19-1029.01	16783	Instruct others in the selection and use of bioinformatics tools.	n/a	n/a	06/2009	Analyst
19-1029.01	16782	Prepare summary statistics of information regarding human genomes.	n/a	n/a	06/2009	Analyst
19-1029.01	16781	Provide statistical and computational tools for biologically based activities such as genetic analysis, measurement of gene expression, and gene function determination.	n/a	n/a	06/2009	Analyst
19-1029.01	16780	Test new and updated bioinformatics tools and software.	n/a	n/a	06/2009	Analyst
19-1029.01	16779	Collaborate with software developers in the development and modification of commercial bioinformatics software.	n/a	n/a	06/2009	Analyst
19-1029.01	16778	Confer with departments such as marketing, business development, and operations to coordinate product development or improvement.	n/a	n/a	06/2009	Analyst
19-1029.01	16777	Keep abreast of new biochemistries, instrumentation, or software by reading scientific literature and attending professional conferences.	n/a	n/a	06/2009	Analyst
19-1029.01	16776	Recommend new systems and processes to improve operations.	n/a	n/a	06/2009	Analyst
19-1029.02	16816	Conduct applied research aimed at improvements in areas such as disease testing, crop quality, pharmaceuticals, and the harnessing of microbes to recycle waste.	n/a	n/a	06/2009	Analyst
19-1029.02	16815	Conduct research on cell organization and function including mechanisms of gene expression, cellular bioinformatics, cell signaling, or cell differentiation.	n/a	n/a	06/2009	Analyst
19-1029.02	16814	Compile and analyze molecular or cellular experimental data and adjust experimental designs as necessary.	n/a	n/a	06/2009	Analyst
19-1029.02	16812	Design databases such as mutagenesis libraries.	n/a	n/a	06/2009	Analyst
19-1029.02	16813	Design molecular or cellular laboratory experiments, oversee their execution, and interpret results.	n/a	n/a	06/2009	Analyst
19-1029.02	16811	Develop assays that monitor cell characteristics.	n/a	n/a	06/2009	Analyst
19-1029.02	16810	Direct, coordinate, organize, or prioritize biological laboratory activities.	n/a	n/a	06/2009	Analyst
19-1029.02	16809	Evaluate new technologies to enhance or complement current research.	n/a	n/a	06/2009	Analyst
19-1029.02	16808	Instruct undergraduate and graduate students within the areas of cellular or molecular biology.	n/a	n/a	06/2009	Analyst
19-1029.02	16807	Maintain accurate laboratory records and data.	n/a	n/a	06/2009	Analyst
19-1029.02	16806	Monitor or operate specialized equipment such as gas chromatographs and high pressure liquid chromatographs, electrophoresis units, thermocyclers, fluorescence activated cell sorters, and phosphoimagers.	n/a	n/a	06/2009	Analyst
19-1029.02	16805	Perform laboratory procedures following protocols including deoxyribonucleic acid (DNA) sequencing, cloning and extraction, ribonucleic acid (RNA) purification, or gel electrophoresis.	n/a	n/a	06/2009	Analyst
19-1029.02	16803	Prepare reports, manuscripts, and meeting presentations.	n/a	n/a	06/2009	Analyst
19-1029.02	16804	Provide scientific direction for project teams regarding the evaluation or handling of devices, drugs, or cells for in vitro and in vivo disease models.	n/a	n/a	06/2009	Analyst
19-1029.02	16802	Supervise technical personnel and postdoctoral research fellows.	n/a	n/a	06/2009	Analyst
19-1029.02	16801	Confer with vendors to evaluate new equipment or reagents or to discuss the customization of product lines to meet user requirements.	n/a	n/a	06/2009	Analyst
19-1029.02	16800	Coordinate molecular or cellular research activities with scientists specializing in other fields.	n/a	n/a	06/2009	Analyst
19-1029.02	16799	Develop guidelines for procedures such as the management of viruses.	n/a	n/a	06/2009	Analyst
19-1029.02	16798	Evaluate new supplies and equipment to ensure operability in specific laboratory settings.	n/a	n/a	06/2009	Analyst
19-1029.02	16797	Participate in all levels of bio-product development including proposing new products, performing market analyses, designing and performing experiments, and collaborating with operations and quality control teams during product launches.	n/a	n/a	06/2009	Analyst
19-1029.02	16796	Verify all financial, physical, and human resources assigned to research or development projects are used as planned.	n/a	n/a	06/2009	Analyst
19-1029.03	16840	Analyze determinants responsible for specific inherited traits, and devise methods for altering traits or producing new traits.	n/a	n/a	06/2009	Analyst
19-1029.03	16839	Plan or conduct basic genomic and biological research related to areas such as regulation of gene expression, protein interactions, metabolic networks, and nucleic acid or protein complexes.	n/a	n/a	06/2009	Analyst
19-1029.03	16838	Conduct family medical studies to evaluate the genetic basis for traits or diseases.	n/a	n/a	06/2009	Analyst
19-1029.03	16837	Create or use statistical models for the analysis of genetic data.	n/a	n/a	06/2009	Analyst
19-1029.03	16836	Design sampling plans or coordinate the field collection of samples such as tissue specimens.	n/a	n/a	06/2009	Analyst
19-1029.03	16835	Develop protocols to improve existing genetic techniques or to incorporate new diagnostic procedures.	n/a	n/a	06/2009	Analyst
19-1029.03	16834	Evaluate genetic data by performing appropriate mathematical or statistical calculations and analyses.	n/a	n/a	06/2009	Analyst
19-1029.03	16833	Extract deoxyribonucleic acid (DNA) or perform diagnostic tests involving processes such as gel electrophoresis, Southern blot analysis, and polymerase chain reaction analysis.	n/a	n/a	06/2009	Analyst
19-1029.03	16832	Maintain laboratory notebooks that record research methods, procedures, and results.	n/a	n/a	06/2009	Analyst
19-1029.03	16831	Prepare results of experimental findings for presentation at professional conferences or in scientific journals.	n/a	n/a	06/2009	Analyst
19-1029.03	16829	Review, approve, or interpret genetic laboratory results.	n/a	n/a	06/2009	Analyst
19-1029.03	16830	Search scientific literature to select and modify methods and procedures most appropriate for genetic research goals.	n/a	n/a	06/2009	Analyst
19-1029.03	16828	Supervise or direct the work of other geneticists, biologists, technicians, or biometricians working on genetics research projects.	n/a	n/a	06/2009	Analyst
19-1029.03	16827	Attend clinical and research conferences and read scientific literature to keep abreast of technological advances and current genetic research findings.	n/a	n/a	06/2009	Analyst
19-1029.03	16826	Collaborate with biologists and other professionals to conduct appropriate genetic and biochemical analyses.	n/a	n/a	06/2009	Analyst
19-1029.03	16825	Confer with information technology specialists to develop computer applications for genetic data analysis.	n/a	n/a	06/2009	Analyst
19-1029.03	16824	Design and maintain genetics computer databases.	n/a	n/a	06/2009	Analyst
19-1029.03	16823	Evaluate, diagnose, or treat genetic diseases.	n/a	n/a	06/2009	Analyst
19-1029.03	16822	Instruct medical students, graduate students, or others in methods or procedures for diagnosis and management of genetic disorders.	n/a	n/a	06/2009	Analyst
19-1029.03	16821	Maintain laboratory safety programs and train personnel in laboratory safety techniques.	n/a	n/a	06/2009	Analyst
19-1029.03	16820	Participate in the development of endangered species breeding programs or species survival plans.	n/a	n/a	06/2009	Analyst
19-1029.03	16819	Plan curatorial programs for species collections that include acquisition, distribution, maintenance, or regeneration.	n/a	n/a	06/2009	Analyst
19-1029.03	16818	Verify that cytogenetic, molecular genetic, and related equipment and instrumentation is maintained in working condition to ensure accuracy and quality of experimental results.	n/a	n/a	06/2009	Analyst
19-1029.03	16817	Write grants and papers or attend fundraising events to seek research funds.	n/a	n/a	06/2009	Analyst
19-1031.01	9042	Develop and maintain working relationships with local government staff and board members.	Core	70	06/2006	Incumbent
19-1031.01	9043	Apply principles of specialized fields of science, such as agronomy, soil science, forestry, or agriculture, to achieve conservation objectives.	Core	70	06/2006	Incumbent
19-1031.01	9044	Advise land users, such as farmers and ranchers, on conservation plans, problems and alternative solutions, and provide technical and planning assistance.	Core	71	06/2006	Incumbent
19-1031.01	9045	Plan soil management and conservation practices, such as crop rotation, reforestation, permanent vegetation, contour plowing, or terracing, to maintain soil and conserve water.	Core	71	06/2006	Incumbent
19-1031.01	9046	Visit areas affected by erosion problems to seek sources and solutions.	Core	71	06/2006	Incumbent
19-1031.01	9047	Monitor projects during and after construction to ensure projects conform to design specifications.	Core	71	06/2006	Incumbent
19-1031.01	9048	Compute design specifications for implementation of conservation practices, using survey and field information technical guides, engineering manuals, and calculators.	Core	71	06/2006	Incumbent
19-1031.01	9049	Revisit land users to view implemented land use practices and plans.	Core	71	06/2006	Incumbent
19-1031.01	9050	Coordinate and implement technical, financial, and administrative assistance programs for local government units to ensure efficient program implementation and timely responses to requests for assistance.	Core	71	06/2006	Incumbent
19-1031.01	9051	Analyze results of investigations to determine measures needed to maintain or restore proper soil management.	Core	71	06/2006	Incumbent
19-1031.01	9052	Participate on work teams to plan, develop, and implement water and land management programs and policies.	Core	71	06/2006	Incumbent
19-1031.01	9053	Develop, conduct, or participate in surveys, studies, and investigations of various land uses, gathering information for use in developing corrective action plans.	Core	70	06/2006	Incumbent
19-1031.01	9054	Survey property to mark locations and measurements, using surveying instruments.	Core	71	06/2006	Incumbent
19-1031.01	9055	Compute cost estimates of different conservation practices, based on needs of land users, maintenance requirements, and life expectancy of practices.	Core	71	06/2006	Incumbent
19-1031.01	9056	Provide information, knowledge, expertise, and training to government agencies at all levels to solve water and soil management problems and to assure coordination of resource protection activities.	Core	70	06/2006	Incumbent
19-1031.01	9057	Respond to complaints and questions on wetland jurisdiction, providing information and clarification.	Core	71	06/2006	Incumbent
19-1031.01	9058	Initiate, schedule, and conduct annual audits and compliance checks of program implementation by local government.	Core	71	06/2006	Incumbent
19-1031.01	9059	Compile and interpret wetland biodata to determine extent and type of wetland and to aid in program formulation.	Core	71	06/2006	Incumbent
19-1031.01	9060	Manage field offices and involve staff in cooperative ventures.	Supplemental	71	06/2006	Incumbent
19-1031.01	9061	Review and approve amendments to comprehensive local water plans and conservation district plans.	Supplemental	70	06/2006	Incumbent
19-1031.01	9062	Review proposed wetland restoration easements and provide technical recommendations.	Supplemental	71	06/2006	Incumbent
19-1031.01	9063	Review grant applications and make funding recommendations.	Supplemental	71	06/2006	Incumbent
19-1031.01	9064	Conduct fact finding and mediation sessions among government units, landowners, and other agencies to resolve disputes.	Supplemental	71	06/2006	Incumbent
19-1031.01	9065	Review annual reports of counties, conservation districts, and watershed management organizations, certifying compliance with mandated reporting requirements.	Supplemental	71	06/2006	Incumbent
19-1031.01	9066	Provide access to programs and training to assist in completion of government groundwater protection plans.	Supplemental	71	06/2006	Incumbent
19-1031.02	7496	Regulate grazing, and help ranchers plan and organize grazing systems in order to manage, improve and protect rangelands and maximize their use.	Core	96	12/2005	Incumbent
19-1031.02	7497	Measure and assess vegetation resources for biological assessment companies, environmental impact statements, and rangeland monitoring programs.	Core	96	12/2005	Incumbent
19-1031.02	7498	Maintain soil stability and vegetation for non-grazing uses, such as wildlife habitats and outdoor recreation.	Core	96	12/2005	Incumbent
19-1031.02	7499	Mediate agreements among rangeland users and preservationists as to appropriate land use and management.	Core	96	12/2005	Incumbent
19-1031.02	7500	Manage forage resources through fire, herbicide use, or revegetation to maintain a sustainable yield from the land.	Core	95	12/2005	Incumbent
19-1031.02	7501	Study rangeland management practices and research range problems to provide sustained production of forage, livestock, and wildlife.	Core	95	12/2005	Incumbent
19-1031.02	7502	Offer advice to rangeland users on water management, forage production methods, and control of brush.	Core	96	12/2005	Incumbent
19-1031.02	7503	Plan and direct construction and maintenance of range improvements such as fencing, corrals, stock-watering reservoirs and soil-erosion control structures.	Core	96	12/2005	Incumbent
19-1031.02	7504	Tailor conservation plans to landowners' goals, such as livestock support, wildlife, or recreation.	Core	95	12/2005	Incumbent
19-1031.02	7505	Develop technical standards and specifications used to manage, protect and improve the natural resources of range lands and related grazing lands.	Core	96	12/2005	Incumbent
19-1031.02	7506	Study grazing patterns to determine number and kind of livestock that can be most profitably grazed and to determine the best grazing seasons.	Core	96	12/2005	Incumbent
19-1031.02	7507	Plan and implement revegetation of disturbed sites.	Core	96	12/2005	Incumbent
19-1031.02	7508	Study forage plants and their growth requirements to determine varieties best suited to particular range.	Core	96	12/2005	Incumbent
19-1031.02	7509	Develop methods for protecting range from fire and rodent damage and for controlling poisonous plants.	Core	96	12/2005	Incumbent
19-1031.02	7510	Manage private livestock operations.	Supplemental	95	12/2005	Incumbent
19-1031.02	7511	Develop new and improved instruments and techniques for activities such as range reseeding.	Supplemental	96	12/2005	Incumbent
19-1031.03	3686	Provide visitor services by explaining regulations; answering visitor requests, needs and complaints; and providing information about the park and surrounding areas.	Core	93	12/2004	Incumbent
19-1031.03	3687	Conduct field trips to point out scientific, historic, and natural features of parks, forests, historic sites or other attractions.	Core	93	12/2004	Incumbent
19-1031.03	3688	Prepare and present illustrated lectures and interpretive talks about park features.	Core	93	12/2004	Incumbent
19-1031.03	3689	Perform emergency duties to protect human life, government property, and natural features of park.	Core	93	12/2004	Incumbent
19-1031.03	3690	Confer with park staff to determine subjects and schedules for park programs.	Core	93	12/2004	Incumbent
19-1031.03	3691	Assist with operations of general facilities, such as visitor centers.	Core	93	12/2004	Incumbent
19-1031.03	3692	Plan, organize and direct activities of seasonal staff members.	Core	92	12/2004	Incumbent
19-1031.03	3693	Perform routine maintenance on park structures.	Core	90	12/2004	Incumbent
19-1031.03	3694	Prepare brochures and write newspaper articles.	Core	93	12/2004	Incumbent
19-1031.03	3695	Construct historical, scientific, and nature visitor-center displays.	Core	93	12/2004	Incumbent
19-1031.03	3696	Research stories regarding the area's natural history or environment.	Core	92	12/2004	Incumbent
19-1031.03	3697	Interview specialists in desired fields to obtain and develop data for park information programs.	Core	92	12/2004	Incumbent
19-1031.03	3698	Compile and maintain official park photographic and information files.	Core	93	12/2004	Incumbent
19-1031.03	3699	Take photographs and motion pictures for use in lectures and publications and to develop displays.	Core	93	12/2004	Incumbent
19-1031.03	3700	Survey park to determine forest conditions and distribution and abundance of fauna and flora.	Supplemental	93	12/2004	Incumbent
19-1031.03	3701	Plan and develop audiovisual devices for public programs.	Supplemental	93	12/2004	Incumbent
19-1032.00	195	Monitor contract compliance and results of forestry activities to assure adherence to government regulations.	Core	66	03/2003	Incumbent
19-1032.00	196	Establish short- and long-term plans for management of forest lands and forest resources.	Core	66	03/2003	Incumbent
19-1032.00	197	Supervise activities of other forestry workers.	Core	65	03/2003	Incumbent
19-1032.00	198	Choose and prepare sites for new trees, using controlled burning, bulldozers, or herbicides to clear weeds, brush, and logging debris.	Core	66	03/2003	Incumbent
19-1032.00	199	Plan and supervise forestry projects, such as determining the type, number and placement of trees to be planted, managing tree nurseries, thinning forest and monitoring growth of new seedlings.	Core	66	03/2003	Incumbent
19-1032.00	200	Negotiate terms and conditions of agreements and contracts for forest harvesting, forest management and leasing of forest lands.	Core	65	03/2003	Incumbent
19-1032.00	201	Direct, and participate in, forest-fire suppression.	Core	66	03/2003	Incumbent
19-1032.00	202	Determine methods of cutting and removing timber with minimum waste and environmental damage.	Core	66	03/2003	Incumbent
19-1032.00	203	Analyze effect of forest conditions on tree growth rates and tree species prevalence and the yield, duration, seed production, growth viability, and germination of different species.	Core	65	03/2003	Incumbent
19-1032.00	204	Monitor forest-cleared lands to ensure that they are reclaimed to their most suitable end use.	Core	66	03/2003	Incumbent
19-1032.00	205	Plan and implement projects for conservation of wildlife habitats and soil and water quality.	Core	66	03/2003	Incumbent
19-1032.00	206	Plan and direct forest surveys and related studies and prepare reports and recommendations.	Core	66	03/2003	Incumbent
19-1032.00	207	Perform inspections of forests or forest nurseries.	Core	66	03/2003	Incumbent
19-1032.00	208	Map forest area soils and vegetation to estimate the amount of standing timber and future value and growth.	Core	66	03/2003	Incumbent
19-1032.00	209	Conduct public educational programs on forest care and conservation.	Core	66	03/2003	Incumbent
19-1032.00	210	Procure timber from private landowners.	Supplemental	65	03/2003	Incumbent
19-1032.00	211	Subcontract with loggers or pulpwood cutters for tree removal and to aid in road layout.	Supplemental	65	03/2003	Incumbent
19-1032.00	212	Plan cutting programs and manage timber sales from harvested areas, assisting companies to achieve production goals.	Supplemental	64	03/2003	Incumbent
19-1032.00	213	Monitor wildlife populations and assess the impacts of forest operations on population and habitats.	Supplemental	66	03/2003	Incumbent
19-1032.00	214	Plan and direct construction and maintenance of recreation facilities, fire towers, trails, roads and bridges, ensuring that they comply with guidelines and regulations set for forested public lands.	Supplemental	65	03/2003	Incumbent
19-1032.00	215	Contact local forest owners and gain permission to take inventory of the type, amount, and location of all standing timber on the property.	Supplemental	65	03/2003	Incumbent
19-1032.00	216	Provide advice and recommendations, as a consultant on forestry issues, to private woodlot owners, firefighters, government agencies or to companies.	Supplemental	65	03/2003	Incumbent
19-1032.00	217	Study different tree species' classification, life history, light and soil requirements, adaptation to new environmental conditions and resistance to disease and insects.	Supplemental	65	03/2003	Incumbent
19-1032.00	218	Develop new techniques for wood or residue use.	Supplemental	65	03/2003	Incumbent
19-1032.00	219	Develop techniques for measuring and identifying trees.	Supplemental	64	03/2003	Incumbent
19-1041.00	15215	Monitor and report incidents of infectious diseases to local and state health agencies.	Core	30	06/2008	Occupational Expert
19-1041.00	5423	Plan and direct studies to investigate human or animal disease, preventive methods, and treatments for disease.	Core	30	06/2008	Occupational Expert
19-1041.00	15216	Communicate research findings on various types of diseases to health practitioners, policy makers, and the public.	Core	30	06/2008	Occupational Expert
19-1041.00	5425	Provide expertise in the design, management and evaluation of study protocols and health status questionnaires, sample selection and analysis.	Core	30	06/2008	Occupational Expert
19-1041.00	5421	Oversee public health programs, including statistical analysis, health care planning, surveillance systems, and public health improvement.	Core	30	06/2008	Occupational Expert
19-1041.00	5422	Investigate diseases or parasites to determine cause and risk factors, progress, life cycle, or mode of transmission.	Core	30	06/2008	Occupational Expert
19-1041.00	15217	Educate healthcare workers, patients, and the public about infectious and communicable diseases, including disease transmission and prevention.	Core	30	06/2008	Occupational Expert
19-1041.00	5426	Conduct research to develop methodologies, instrumentation and procedures for medical application, analyzing data and presenting findings.	Core	30	06/2008	Occupational Expert
19-1041.00	5429	Identify and analyze public health issues related to foodborne parasitic diseases and their impact on public policies or scientific studies or surveys.	Core	30	06/2008	Occupational Expert
19-1041.00	5428	Supervise professional, technical and clerical personnel.	Core	30	06/2008	Occupational Expert
19-1041.00	5424	Plan, administer and evaluate health safety standards and programs to improve public health, conferring with health department, industry personnel, physicians and others.	Core	30	06/2008	Occupational Expert
19-1041.00	5432	Prepare and analyze samples to study effects of drugs, gases, pesticides, or microorganisms on cell structure and tissue.	Supplemental	30	06/2008	Occupational Expert
19-1041.00	5427	Consult with and advise physicians, educators, researchers, government health officials and others regarding medical applications of sciences, such as physics, biology, and chemistry.	Supplemental	30	06/2008	Occupational Expert
19-1041.00	5430	Teach principles of medicine and medical and laboratory procedures to physicians, residents, students, and technicians.	Supplemental	30	06/2008	Occupational Expert
19-1041.00	5431	Standardize drug dosages, methods of immunization, and procedures for manufacture of drugs and medicinal compounds.	Supplemental	30	06/2008	Occupational Expert
19-1042.00	7512	Conduct research to develop methodologies, instrumentation and procedures for medical application, analyzing data and presenting findings.	Core	95	12/2005	Incumbent
19-1042.00	7513	Plan and direct studies to investigate human or animal disease, preventive methods, and treatments for disease.	Core	95	12/2005	Incumbent
19-1042.00	7514	Follow strict safety procedures when handling toxic materials to avoid contamination.	Core	95	12/2005	Incumbent
19-1042.00	7515	Evaluate effects of drugs, gases, pesticides, parasites, and microorganisms at various levels.	Core	94	12/2005	Incumbent
19-1042.00	7516	Teach principles of medicine and medical and laboratory procedures to physicians, residents, students, and technicians.	Core	95	12/2005	Incumbent
19-1042.00	7517	Prepare and analyze organ, tissue, and cell samples to identify toxicity, bacteria, or microorganisms or to study cell structure.	Supplemental	95	12/2005	Incumbent
19-1042.00	7518	Standardize drug dosages, methods of immunization, and procedures for manufacture of drugs and medicinal compounds.	Supplemental	95	12/2005	Incumbent
19-1042.00	7519	Investigate cause, progress, life cycle, or mode of transmission of diseases or parasites.	Supplemental	94	12/2005	Incumbent
19-1042.00	7520	Confer with health departments, industry personnel, physicians, and others to develop health safety standards and public health improvement programs.	Supplemental	95	12/2005	Incumbent
19-1042.00	7521	Study animal and human health and physiological processes.	Supplemental	95	12/2005	Incumbent
19-1042.00	7522	Consult with and advise physicians, educators, researchers, and others regarding medical applications of physics, biology, and chemistry.	Supplemental	95	12/2005	Incumbent
19-1042.00	7523	Use equipment such as atomic absorption spectrometers, electron microscopes, flow cytometers, and chromatography systems.	Supplemental	95	12/2005	Incumbent
19-2011.00	7524	Study celestial phenomena, using a variety of ground-based and space-borne telescopes and scientific instruments.	Core	32	12/2005	Occupational Expert
19-2011.00	7525	Analyze research data to determine its significance, using computers.	Core	32	12/2005	Occupational Expert
19-2011.00	7526	Present research findings at scientific conferences and in papers written for scientific journals.	Core	32	12/2005	Occupational Expert
19-2011.00	7527	Measure radio, infrared, gamma, and x-ray emissions from extraterrestrial sources.	Core	32	12/2005	Occupational Expert
19-2011.00	7528	Develop theories based on personal observations or on observations and theories of other astronomers.	Core	32	12/2005	Occupational Expert
19-2011.00	7529	Raise funds for scientific research.	Core	32	12/2005	Occupational Expert
19-2011.00	7530	Collaborate with other astronomers to carry out research projects.	Core	32	12/2005	Occupational Expert
19-2011.00	7531	Develop instrumentation and software for astronomical observation and analysis.	Core	32	12/2005	Occupational Expert
19-2011.00	7532	Teach astronomy or astrophysics.	Core	32	12/2005	Occupational Expert
19-2011.00	7533	Develop and modify astronomy-related programs for public presentation.	Core	32	12/2005	Occupational Expert
19-2011.00	7534	Calculate orbits and determine sizes, shapes, brightness, and motions of different celestial bodies.	Core	32	12/2005	Occupational Expert
19-2011.00	7535	Direct the operations of a planetarium.	Supplemental	32	12/2005	Occupational Expert
19-2012.00	10903	Perform complex calculations as part of the analysis and evaluation of data, using computers.	Core	74	12/2006	Incumbent
19-2012.00	10904	Describe and express observations and conclusions in mathematical terms.	Core	74	12/2006	Incumbent
19-2012.00	10905	Analyze data from research conducted to detect and measure physical phenomena.	Core	74	12/2006	Incumbent
19-2012.00	10906	Report experimental results by writing papers for scientific journals or by presenting information at scientific conferences.	Core	74	12/2006	Incumbent
19-2012.00	10907	Design computer simulations to model physical data so that it can be better understood.	Core	74	12/2006	Incumbent
19-2012.00	10908	Collaborate with other scientists in the design, development, and testing of experimental, industrial, or medical equipment, instrumentation, and procedures.	Core	74	12/2006	Incumbent
19-2012.00	10909	Direct testing and monitoring of contamination of radioactive equipment, and recording of personnel and plant area radiation exposure data.	Supplemental	74	12/2006	Incumbent
19-2012.00	10910	Observe the structure and properties of matter, and the transformation and propagation of energy, using equipment such as masers, lasers, and telescopes, in order to explore and identify the basic principles governing these phenomena.	Supplemental	74	12/2006	Incumbent
19-2012.00	10911	Develop theories and laws on the basis of observation and experiments, and apply these theories and laws to problems in areas such as nuclear energy, optics, and aerospace technology.	Supplemental	73	12/2006	Incumbent
19-2012.00	10912	Teach physics to students.	Supplemental	74	12/2006	Incumbent
19-2012.00	10913	Develop manufacturing, assembly, and fabrication processes of lasers, masers, infrared, and other light-emitting and light-sensitive devices.	Supplemental	74	12/2006	Incumbent
19-2012.00	10914	Conduct application evaluations and analyze results in order to determine commercial, industrial, scientific, medical, military, or other uses for electro-optical devices.	Supplemental	74	12/2006	Incumbent
19-2012.00	10915	Develop standards of permissible concentrations of radioisotopes in liquids and gases.	Supplemental	74	12/2006	Incumbent
19-2012.00	10916	Conduct research pertaining to potential environmental impacts of atomic energy-related industrial development in order to determine licensing qualifications.	Supplemental	74	12/2006	Incumbent
19-2012.00	10917	Advise authorities of procedures to be followed in radiation incidents or hazards, and assist in civil defense planning.	Supplemental	73	12/2006	Incumbent
19-2021.00	9067	Study and interpret data, reports, maps, photographs, and charts to predict long- and short-range weather conditions, using computer models and knowledge of climate theory, physics, and mathematics.	Core	121	06/2006	Incumbent
19-2021.00	9068	Broadcast weather conditions, forecasts, and severe weather warnings to the public via television, radio, and the Internet, or provide this information to the news media.	Core	120	06/2006	Incumbent
19-2021.00	9069	Gather data from sources such as surface and upper air stations, satellites, weather bureaus, and radar for use in meteorological reports and forecasts.	Core	120	06/2006	Incumbent
19-2021.00	9070	Prepare forecasts and briefings to meet the needs of industry, business, government, and other groups.	Core	120	06/2006	Incumbent
19-2021.00	9071	Apply meteorological knowledge to problems in areas including agriculture, pollution control, and water management, and to issues such as global warming or ozone depletion.	Core	119	06/2006	Incumbent
19-2021.00	9072	Conduct basic or applied meteorological research into the processes and determinants of atmospheric phenomena, weather, and climate.	Core	121	06/2006	Incumbent
19-2021.00	9073	Operate computer graphic equipment to produce weather reports and maps for analysis, distribution, or use in weather broadcasts.	Supplemental	121	06/2006	Incumbent
19-2021.00	9074	Measure wind, temperature, and humidity in the upper atmosphere, using weather balloons.	Supplemental	120	06/2006	Incumbent
19-2021.00	9075	Develop and use weather forecasting tools, such as mathematical and computer models.	Supplemental	119	06/2006	Incumbent
19-2021.00	9076	Direct forecasting services at weather stations, or at radio or television broadcasting facilities.	Supplemental	117	06/2006	Incumbent
19-2021.00	9077	Research and analyze the impact of industrial projects and pollution on climate, air quality, and weather phenomena.	Supplemental	120	06/2006	Incumbent
19-2021.00	9078	Collect air samples from planes and ships over land and sea to study atmospheric composition.	Supplemental	120	06/2006	Incumbent
19-2021.00	9079	Conduct numerical simulations of climate conditions to understand and predict global and regional weather patterns.	Supplemental	120	06/2006	Incumbent
19-2021.00	9080	Collect and analyze historical climate information such as precipitation and temperature records to help predict future weather and climate trends.	Supplemental	120	06/2006	Incumbent
19-2021.00	9081	Consult with agencies, professionals, or researchers regarding the use and interpretation of climatological information.	Supplemental	120	06/2006	Incumbent
19-2021.00	9082	Make scientific presentations and publish reports, articles, or texts.	Supplemental	120	06/2006	Incumbent
19-2021.00	9083	Design and develop new equipment and methods for meteorological data collection, remote sensing, or related applications.	Supplemental	120	06/2006	Incumbent
19-2021.00	9084	Teach at colleges or universities.	Supplemental	120	06/2006	Incumbent
19-2031.00	1505	Analyze organic and inorganic compounds to determine chemical and physical properties, composition, structure, relationships, and reactions, utilizing chromatography, spectroscopy, and spectrophotometry techniques.	Core	91	06/2009	Incumbent
19-2031.00	18474	Maintain laboratory instruments to ensure proper working order and troubleshoot malfunctions when needed.	Core	90	06/2009	Incumbent
19-2031.00	1506	Develop, improve, and customize products, equipment, formulas, processes, and analytical methods.	Core	90	06/2009	Incumbent
19-2031.00	18475	Conduct quality control tests.	Core	89	06/2009	Incumbent
19-2031.00	1509	Direct, coordinate, and advise personnel in test procedures for analyzing components and physical properties of materials.	Core	90	06/2009	Incumbent
19-2031.00	1513	Prepare test solutions, compounds, and reagents for laboratory personnel to conduct test.	Core	89	06/2009	Incumbent
19-2031.00	1507	Compile and analyze test information to determine process or equipment operating efficiency and to diagnose malfunctions.	Core	89	06/2009	Incumbent
19-2031.00	1508	Confer with scientists and engineers to conduct analyses of research projects, interpret test results, or develop nonstandard tests.	Core	90	06/2009	Incumbent
19-2031.00	1511	Write technical papers and reports and prepare standards and specifications for processes, facilities, products, or tests.	Core	91	06/2009	Incumbent
19-2031.00	1510	Induce changes in composition of substances by introducing heat, light, energy, and chemical catalysts for quantitative and qualitative analysis.	Core	90	06/2009	Incumbent
19-2031.00	1512	Study effects of various methods of processing, preserving, and packaging on composition and properties of foods.	Supplemental	90	06/2009	Incumbent
19-2032.00	9085	Plan laboratory experiments to confirm feasibility of processes and techniques used in the production of materials having special characteristics.	Core	120	06/2006	Incumbent
19-2032.00	9086	Confer with customers to determine how to tailor materials to their needs.	Core	120	06/2006	Incumbent
19-2032.00	9087	Conduct research on the structures and properties of materials, such as metals, alloys, polymers, and ceramics, to obtain information that could be used to develop new products or enhance existing ones.	Core	120	06/2006	Incumbent
