ONET-SOC Code	Item	Response	N	Percent	Date
19-1032.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Mining (10-14)	0	0	3/2003
19-1032.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Construction (15-17)	0	0	3/2003
19-1032.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Manufacturing (20-39)	9	13.6	3/2003
19-1032.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Transportation, Communication, Electric, Gas, and Sanitary Services (40-49)	0	0	3/2003
19-1032.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Wholesale Trade (50-51)	0	0	3/2003
19-1032.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Retail Trade (52-59)	0	0	3/2003
19-1032.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Financial, Insurance and Real Estate (60-67)	0	0	3/2003
19-1032.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Services (70-89)	0	0	3/2003
19-1032.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Public Administration (90-97)	57	86.4	3/2003
19-1032.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Non-Classifiable (99)	0	0	3/2003
19-3051.00	O*NET-SOC Establishment Response Rate	n/a	n/a	74.5	3/2003
19-3051.00	O*NET-SOC Employee Response Rate	n/a	n/a	79.1	3/2003
19-3051.00	O*NET-SOC Case Completeness Rate	n/a	n/a	92.3	3/2003
19-3051.00	Total Completes for O*NET-SOC	n/a	84	n/a	3/2003
19-3051.00	Data Collection Mode	Paper	57	67.9	3/2003
19-3051.00	Data Collection Mode	Web	27	32.1	3/2003
19-3051.00	How Long at Current Job	10 Years or More	21	25	3/2003
19-3051.00	How Long at Current Job	6-9 Years	16	19	3/2003
19-3051.00	How Long at Current Job	1-5 Years	33	39.3	3/2003
19-3051.00	How Long at Current Job	<1 Year	13	15.5	3/2003
19-3051.00	How Long at Current Job	Missing	1	1.2	3/2003
19-3051.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Agriculture, Forestry, Fishing (01-09)	0	0	3/2003
19-3051.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Mining (10-14)	0	0	3/2003
19-3051.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Construction (15-17)	0	0	3/2003
19-3051.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Manufacturing (20-39)	0	0	3/2003
19-3051.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Transportation, Communication, Electric, Gas, and Sanitary Services (40-49)	0	0	3/2003
19-3051.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Wholesale Trade (50-51)	0	0	3/2003
19-3051.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Retail Trade (52-59)	0	0	3/2003
19-3051.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Financial, Insurance and Real Estate (60-67)	0	0	3/2003
19-3051.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Services (70-89)	8	9.5	3/2003
19-3051.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Public Administration (90-97)	76	90.5	3/2003
19-3051.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Non-Classifiable (99)	0	0	3/2003
21-1021.00	O*NET-SOC Establishment Response Rate	n/a	n/a	77.3	3/2003
21-1021.00	O*NET-SOC Employee Response Rate	n/a	n/a	78.3	3/2003
21-1021.00	O*NET-SOC Case Completeness Rate	n/a	n/a	93.5	3/2003
21-1021.00	Total Completes for O*NET-SOC	n/a	101	n/a	3/2003
21-1021.00	Data Collection Mode	Paper	90	89.1	3/2003
21-1021.00	Data Collection Mode	Web	11	10.9	3/2003
21-1021.00	How Long at Current Job	10 Years or More	18	17.8	3/2003
21-1021.00	How Long at Current Job	6-9 Years	14	13.9	3/2003
21-1021.00	How Long at Current Job	1-5 Years	57	56.4	3/2003
21-1021.00	How Long at Current Job	<1 Year	12	11.9	3/2003
21-1021.00	How Long at Current Job	Missing	0	0	3/2003
21-1021.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Agriculture, Forestry, Fishing (01-09)	0	0	3/2003
21-1021.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Mining (10-14)	0	0	3/2003
21-1021.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Construction (15-17)	0	0	3/2003
21-1021.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Manufacturing (20-39)	0	0	3/2003
21-1021.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Transportation, Communication, Electric, Gas, and Sanitary Services (40-49)	0	0	3/2003
21-1021.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Wholesale Trade (50-51)	0	0	3/2003
21-1021.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Retail Trade (52-59)	0	0	3/2003
21-1021.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Financial, Insurance and Real Estate (60-67)	0	0	3/2003
21-1021.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Services (70-89)	78	77.2	3/2003
21-1021.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Public Administration (90-97)	23	22.8	3/2003
21-1021.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Non-Classifiable (99)	0	0	3/2003
21-1022.00	O*NET-SOC Establishment Response Rate	n/a	n/a	69.3	3/2003
21-1022.00	O*NET-SOC Employee Response Rate	n/a	n/a	69.5	3/2003
21-1022.00	O*NET-SOC Case Completeness Rate	n/a	n/a	84.8	3/2003
21-1022.00	Total Completes for O*NET-SOC	n/a	89	n/a	3/2003
21-1022.00	Data Collection Mode	Paper	81	91	3/2003
21-1022.00	Data Collection Mode	Web	8	9	3/2003
21-1022.00	How Long at Current Job	10 Years or More	29	32.6	3/2003
21-1022.00	How Long at Current Job	6-9 Years	14	15.7	3/2003
21-1022.00	How Long at Current Job	1-5 Years	34	38.2	3/2003
21-1022.00	How Long at Current Job	<1 Year	12	13.5	3/2003
21-1022.00	How Long at Current Job	Missing	0	0	3/2003
21-1022.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Agriculture, Forestry, Fishing (01-09)	0	0	3/2003
21-1022.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Mining (10-14)	0	0	3/2003
21-1022.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Construction (15-17)	0	0	3/2003
21-1022.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Manufacturing (20-39)	0	0	3/2003
21-1022.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Transportation, Communication, Electric, Gas, and Sanitary Services (40-49)	0	0	3/2003
21-1022.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Wholesale Trade (50-51)	0	0	3/2003
21-1022.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Retail Trade (52-59)	0	0	3/2003
21-1022.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Financial, Insurance and Real Estate (60-67)	0	0	3/2003
21-1022.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Services (70-89)	86	96.6	3/2003
21-1022.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Public Administration (90-97)	3	3.4	3/2003
21-1022.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Non-Classifiable (99)	0	0	3/2003
21-1023.00	O*NET-SOC Establishment Response Rate	n/a	n/a	76	3/2003
21-1023.00	O*NET-SOC Employee Response Rate	n/a	n/a	68.8	3/2003
21-1023.00	O*NET-SOC Case Completeness Rate	n/a	n/a	88.9	3/2003
21-1023.00	Total Completes for O*NET-SOC	n/a	192	n/a	3/2003
21-1023.00	Data Collection Mode	Paper	174	90.6	3/2003
21-1023.00	Data Collection Mode	Web	18	9.4	3/2003
21-1023.00	How Long at Current Job	10 Years or More	53	27.6	3/2003
21-1023.00	How Long at Current Job	6-9 Years	27	14.1	3/2003
21-1023.00	How Long at Current Job	1-5 Years	85	44.3	3/2003
21-1023.00	How Long at Current Job	<1 Year	27	14.1	3/2003
21-1023.00	How Long at Current Job	Missing	0	0	3/2003
21-1023.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Agriculture, Forestry, Fishing (01-09)	0	0	3/2003
21-1023.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Mining (10-14)	0	0	3/2003
21-1023.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Construction (15-17)	0	0	3/2003
21-1023.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Manufacturing (20-39)	0	0	3/2003
21-1023.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Transportation, Communication, Electric, Gas, and Sanitary Services (40-49)	0	0	3/2003
21-1023.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Wholesale Trade (50-51)	0	0	3/2003
21-1023.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Retail Trade (52-59)	0	0	3/2003
21-1023.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Financial, Insurance and Real Estate (60-67)	0	0	3/2003
21-1023.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Services (70-89)	181	94.3	3/2003
21-1023.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Public Administration (90-97)	11	5.7	3/2003
21-1023.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Non-Classifiable (99)	0	0	3/2003
27-1011.00	O*NET-SOC Establishment Response Rate	n/a	n/a	67.3	3/2003
27-1011.00	O*NET-SOC Employee Response Rate	n/a	n/a	72.1	3/2003
27-1011.00	O*NET-SOC Case Completeness Rate	n/a	n/a	94.7	3/2003
27-1011.00	Total Completes for O*NET-SOC	n/a	71	n/a	3/2003
27-1011.00	Data Collection Mode	Paper	42	59.2	3/2003
27-1011.00	Data Collection Mode	Web	29	40.8	3/2003
27-1011.00	How Long at Current Job	10 Years or More	22	31	3/2003
27-1011.00	How Long at Current Job	6-9 Years	11	15.5	3/2003
27-1011.00	How Long at Current Job	1-5 Years	30	42.3	3/2003
27-1011.00	How Long at Current Job	<1 Year	8	11.3	3/2003
27-1011.00	How Long at Current Job	Missing	0	0	3/2003
27-1011.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Agriculture, Forestry, Fishing (01-09)	0	0	3/2003
27-1011.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Mining (10-14)	0	0	3/2003
27-1011.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Construction (15-17)	0	0	3/2003
27-1011.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Manufacturing (20-39)	16	22.5	3/2003
27-1011.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Transportation, Communication, Electric, Gas, and Sanitary Services (40-49)	1	1.4	3/2003
27-1011.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Wholesale Trade (50-51)	0	0	3/2003
27-1011.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Retail Trade (52-59)	0	0	3/2003
27-1011.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Financial, Insurance and Real Estate (60-67)	0	0	3/2003
27-1011.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Services (70-89)	54	76.1	3/2003
27-1011.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Public Administration (90-97)	0	0	3/2003
27-1011.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Non-Classifiable (99)	0	0	3/2003
27-1024.00	O*NET-SOC Establishment Response Rate	n/a	n/a	67.5	3/2003
27-1024.00	O*NET-SOC Employee Response Rate	n/a	n/a	65.4	3/2003
27-1024.00	O*NET-SOC Case Completeness Rate	n/a	n/a	92.2	3/2003
27-1024.00	Total Completes for O*NET-SOC	n/a	94	n/a	3/2003
27-1024.00	Data Collection Mode	Paper	69	73.4	3/2003
27-1024.00	Data Collection Mode	Web	25	26.6	3/2003
27-1024.00	How Long at Current Job	10 Years or More	26	27.7	3/2003
27-1024.00	How Long at Current Job	6-9 Years	13	13.8	3/2003
27-1024.00	How Long at Current Job	1-5 Years	44	46.8	3/2003
27-1024.00	How Long at Current Job	<1 Year	11	11.7	3/2003
27-1024.00	How Long at Current Job	Missing	0	0	3/2003
27-1024.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Agriculture, Forestry, Fishing (01-09)	0	0	3/2003
27-1024.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Mining (10-14)	0	0	3/2003
27-1024.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Construction (15-17)	0	0	3/2003
27-1024.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Manufacturing (20-39)	47	50	3/2003
27-1024.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Transportation, Communication, Electric, Gas, and Sanitary Services (40-49)	3	3.2	3/2003
27-1024.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Wholesale Trade (50-51)	1	1.1	3/2003
27-1024.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Retail Trade (52-59)	0	0	3/2003
27-1024.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Financial, Insurance and Real Estate (60-67)	0	0	3/2003
27-1024.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Services (70-89)	43	45.7	3/2003
27-1024.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Public Administration (90-97)	0	0	3/2003
27-1024.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Non-Classifiable (99)	0	0	3/2003
29-1031.00	O*NET-SOC Establishment Response Rate	n/a	n/a	70.6	3/2003
29-1031.00	O*NET-SOC Employee Response Rate	n/a	n/a	70.5	3/2003
29-1031.00	O*NET-SOC Case Completeness Rate	n/a	n/a	83.9	3/2003
29-1031.00	Total Completes for O*NET-SOC	n/a	73	n/a	3/2003
29-1031.00	Data Collection Mode	Paper	61	83.6	3/2003
29-1031.00	Data Collection Mode	Web	12	16.4	3/2003
29-1031.00	How Long at Current Job	10 Years or More	25	34.2	3/2003
29-1031.00	How Long at Current Job	6-9 Years	10	13.7	3/2003
29-1031.00	How Long at Current Job	1-5 Years	31	42.5	3/2003
29-1031.00	How Long at Current Job	<1 Year	7	9.6	3/2003
29-1031.00	How Long at Current Job	Missing	0	0	3/2003
29-1031.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Agriculture, Forestry, Fishing (01-09)	0	0	3/2003
29-1031.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Mining (10-14)	0	0	3/2003
29-1031.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Construction (15-17)	0	0	3/2003
29-1031.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Manufacturing (20-39)	0	0	3/2003
29-1031.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Transportation, Communication, Electric, Gas, and Sanitary Services (40-49)	0	0	3/2003
29-1031.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Wholesale Trade (50-51)	0	0	3/2003
29-1031.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Retail Trade (52-59)	0	0	3/2003
29-1031.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Financial, Insurance and Real Estate (60-67)	0	0	3/2003
29-1031.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Services (70-89)	68	93.2	3/2003
29-1031.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Public Administration (90-97)	5	6.8	3/2003
29-1031.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Non-Classifiable (99)	0	0	3/2003
29-1041.00	O*NET-SOC Establishment Response Rate	n/a	n/a	61.6	3/2003
29-1041.00	O*NET-SOC Employee Response Rate	n/a	n/a	69.6	3/2003
29-1041.00	O*NET-SOC Case Completeness Rate	n/a	n/a	93.2	3/2003
29-1041.00	Total Completes for O*NET-SOC	n/a	82	n/a	3/2003
29-1041.00	Data Collection Mode	Paper	69	84.1	3/2003
29-1041.00	Data Collection Mode	Web	13	15.9	3/2003
29-1041.00	How Long at Current Job	10 Years or More	61	74.4	3/2003
29-1041.00	How Long at Current Job	6-9 Years	6	7.3	3/2003
29-1041.00	How Long at Current Job	1-5 Years	14	17.1	3/2003
29-1041.00	How Long at Current Job	<1 Year	1	1.2	3/2003
29-1041.00	How Long at Current Job	Missing	0	0	3/2003
29-1041.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Agriculture, Forestry, Fishing (01-09)	0	0	3/2003
29-1041.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Mining (10-14)	0	0	3/2003
29-1041.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Construction (15-17)	0	0	3/2003
29-1041.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Manufacturing (20-39)	0	0	3/2003
29-1041.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Transportation, Communication, Electric, Gas, and Sanitary Services (40-49)	0	0	3/2003
29-1041.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Wholesale Trade (50-51)	0	0	3/2003
29-1041.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Retail Trade (52-59)	11	13.4	3/2003
29-1041.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Financial, Insurance and Real Estate (60-67)	0	0	3/2003
29-1041.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Services (70-89)	71	86.6	3/2003
29-1041.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Public Administration (90-97)	0	0	3/2003
29-1041.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Non-Classifiable (99)	0	0	3/2003
29-1122.00	O*NET-SOC Establishment Response Rate	n/a	n/a	72.9	3/2003
29-1122.00	O*NET-SOC Employee Response Rate	n/a	n/a	68	3/2003
29-1122.00	O*NET-SOC Case Completeness Rate	n/a	n/a	96.5	3/2003
29-1122.00	Total Completes for O*NET-SOC	n/a	82	n/a	3/2003
29-1122.00	Data Collection Mode	Paper	68	82.9	3/2003
29-1122.00	Data Collection Mode	Web	14	17.1	3/2003
29-1122.00	How Long at Current Job	10 Years or More	20	24.4	3/2003
29-1122.00	How Long at Current Job	6-9 Years	18	22	3/2003
29-1122.00	How Long at Current Job	1-5 Years	38	46.3	3/2003
29-1122.00	How Long at Current Job	<1 Year	6	7.3	3/2003
29-1122.00	How Long at Current Job	Missing	0	0	3/2003
29-1122.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Agriculture, Forestry, Fishing (01-09)	0	0	3/2003
29-1122.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Mining (10-14)	0	0	3/2003
29-1122.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Construction (15-17)	0	0	3/2003
29-1122.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Manufacturing (20-39)	0	0	3/2003
29-1122.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Transportation, Communication, Electric, Gas, and Sanitary Services (40-49)	0	0	3/2003
29-1122.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Wholesale Trade (50-51)	0	0	3/2003
29-1122.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Retail Trade (52-59)	0	0	3/2003
29-1122.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Financial, Insurance and Real Estate (60-67)	0	0	3/2003
29-1122.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Services (70-89)	82	100	3/2003
29-1122.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Public Administration (90-97)	0	0	3/2003
29-1122.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Non-Classifiable (99)	0	0	3/2003
29-1123.00	O*NET-SOC Establishment Response Rate	n/a	n/a	68.9	3/2003
29-1123.00	O*NET-SOC Employee Response Rate	n/a	n/a	61.3	3/2003
29-1123.00	O*NET-SOC Case Completeness Rate	n/a	n/a	90.8	3/2003
29-1123.00	Total Completes for O*NET-SOC	n/a	79	n/a	3/2003
29-1123.00	Data Collection Mode	Paper	66	83.5	3/2003
29-1123.00	Data Collection Mode	Web	13	16.5	3/2003
29-1123.00	How Long at Current Job	10 Years or More	28	35.4	3/2003
29-1123.00	How Long at Current Job	6-9 Years	10	12.7	3/2003
29-1123.00	How Long at Current Job	1-5 Years	34	43	3/2003
29-1123.00	How Long at Current Job	<1 Year	7	8.9	3/2003
29-1123.00	How Long at Current Job	Missing	0	0	3/2003
29-1123.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Agriculture, Forestry, Fishing (01-09)	0	0	3/2003
29-1123.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Mining (10-14)	0	0	3/2003
29-1123.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Construction (15-17)	0	0	3/2003
29-1123.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Manufacturing (20-39)	0	0	3/2003
29-1123.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Transportation, Communication, Electric, Gas, and Sanitary Services (40-49)	0	0	3/2003
29-1123.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Wholesale Trade (50-51)	0	0	3/2003
29-1123.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Retail Trade (52-59)	0	0	3/2003
29-1123.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Financial, Insurance and Real Estate (60-67)	0	0	3/2003
29-1123.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Services (70-89)	79	100	3/2003
29-1123.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Public Administration (90-97)	0	0	3/2003
29-1123.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Non-Classifiable (99)	0	0	3/2003
29-1125.00	O*NET-SOC Establishment Response Rate	n/a	n/a	65.3	3/2003
29-1125.00	O*NET-SOC Employee Response Rate	n/a	n/a	72.6	3/2003
29-1125.00	O*NET-SOC Case Completeness Rate	n/a	n/a	85.6	3/2003
29-1125.00	Total Completes for O*NET-SOC	n/a	77	n/a	3/2003
29-1125.00	Data Collection Mode	Paper	72	93.5	3/2003
29-1125.00	Data Collection Mode	Web	5	6.5	3/2003
29-1125.00	How Long at Current Job	10 Years or More	27	35.1	3/2003
29-1125.00	How Long at Current Job	6-9 Years	10	13	3/2003
29-1125.00	How Long at Current Job	1-5 Years	25	32.5	3/2003
29-1125.00	How Long at Current Job	<1 Year	15	19.5	3/2003
29-1125.00	How Long at Current Job	Missing	0	0	3/2003
29-1125.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Agriculture, Forestry, Fishing (01-09)	0	0	3/2003
29-1125.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Mining (10-14)	0	0	3/2003
29-1125.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Construction (15-17)	0	0	3/2003
29-1125.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Manufacturing (20-39)	0	0	3/2003
29-1125.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Transportation, Communication, Electric, Gas, and Sanitary Services (40-49)	0	0	3/2003
29-1125.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Wholesale Trade (50-51)	0	0	3/2003
29-1125.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Retail Trade (52-59)	0	0	3/2003
29-1125.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Financial, Insurance and Real Estate (60-67)	0	0	3/2003
29-1125.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Services (70-89)	68	88.3	3/2003
29-1125.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Public Administration (90-97)	9	11.7	3/2003
29-1125.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Non-Classifiable (99)	0	0	3/2003
29-1126.00	O*NET-SOC Establishment Response Rate	n/a	n/a	57.8	3/2003
29-1126.00	O*NET-SOC Employee Response Rate	n/a	n/a	61	3/2003
29-1126.00	O*NET-SOC Case Completeness Rate	n/a	n/a	92.8	3/2003
29-1126.00	Total Completes for O*NET-SOC	n/a	90	n/a	3/2003
29-1126.00	Data Collection Mode	Paper	78	86.7	3/2003
29-1126.00	Data Collection Mode	Web	12	13.3	3/2003
29-1126.00	How Long at Current Job	10 Years or More	50	55.6	3/2003
29-1126.00	How Long at Current Job	6-9 Years	18	20	3/2003
29-1126.00	How Long at Current Job	1-5 Years	22	24.4	3/2003
29-1126.00	How Long at Current Job	<1 Year	0	0	3/2003
29-1126.00	How Long at Current Job	Missing	0	0	3/2003
29-1126.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Agriculture, Forestry, Fishing (01-09)	0	0	3/2003
29-1126.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Mining (10-14)	0	0	3/2003
29-1126.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Construction (15-17)	0	0	3/2003
29-1126.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Manufacturing (20-39)	0	0	3/2003
29-1126.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Transportation, Communication, Electric, Gas, and Sanitary Services (40-49)	0	0	3/2003
29-1126.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Wholesale Trade (50-51)	4	4.4	3/2003
29-1126.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Retail Trade (52-59)	0	0	3/2003
29-1126.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Financial, Insurance and Real Estate (60-67)	0	0	3/2003
29-1126.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Services (70-89)	86	95.6	3/2003
29-1126.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Public Administration (90-97)	0	0	3/2003
29-1126.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Non-Classifiable (99)	0	0	3/2003
29-2021.00	O*NET-SOC Establishment Response Rate	n/a	n/a	64.2	3/2003
29-2021.00	O*NET-SOC Employee Response Rate	n/a	n/a	80.3	3/2003
29-2021.00	O*NET-SOC Case Completeness Rate	n/a	n/a	90.6	3/2003
29-2021.00	Total Completes for O*NET-SOC	n/a	77	n/a	3/2003
29-2021.00	Data Collection Mode	Paper	70	90.9	3/2003
29-2021.00	Data Collection Mode	Web	7	9.1	3/2003
29-2021.00	How Long at Current Job	10 Years or More	36	46.8	3/2003
29-2021.00	How Long at Current Job	6-9 Years	18	23.4	3/2003
29-2021.00	How Long at Current Job	1-5 Years	21	27.3	3/2003
29-2021.00	How Long at Current Job	<1 Year	2	2.6	3/2003
29-2021.00	How Long at Current Job	Missing	0	0	3/2003
29-2021.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Agriculture, Forestry, Fishing (01-09)	0	0	3/2003
29-2021.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Mining (10-14)	0	0	3/2003
29-2021.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Construction (15-17)	0	0	3/2003
29-2021.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Manufacturing (20-39)	0	0	3/2003
29-2021.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Transportation, Communication, Electric, Gas, and Sanitary Services (40-49)	0	0	3/2003
29-2021.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Wholesale Trade (50-51)	0	0	3/2003
29-2021.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Retail Trade (52-59)	0	0	3/2003
29-2021.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Financial, Insurance and Real Estate (60-67)	0	0	3/2003
29-2021.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Services (70-89)	77	100	3/2003
29-2021.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Public Administration (90-97)	0	0	3/2003
